Cycle,Discharge_Capacity(Ah),knn,particle_filter,rvm,dcnn
84,2.34430624,2.0596086727901235,2.218207327106847,2.3925110633871114,2.3249373450000004
85,2.330144405,2.2123791730569584,2.349613892174844,2.3372917340409805,2.276047707
86,2.3250386709999997,2.3182790719320407,2.5485059485176533,2.3979282578327883,2.220693828
87,2.3350386709999995,2.27046091309332,2.521804062104927,2.3076984861781082,2.220693828
88,2.3172600269999997,2.168247750735729,2.5068116723362137,2.292766548820588,2.272406577
89,2.320906162,2.285166783690574,2.1347428836053552,2.3315649968766587,2.2307274329999998
90,2.313943863,2.357615699936047,2.2446440074999905,2.3601092565264095,2.2619640839999997
91,2.321749449,2.6648949696127997,2.316979534556025,2.2734016592629716,2.2904129039999996
92,2.3317494489999997,2.1412901202135757,2.096930125556872,2.3595863190469655,2.2904129039999996
93,2.318713427,2.2426514874455057,2.5907357939805986,2.327387128581287,2.211100578
94,2.328713427,2.598640929479935,2.259317135991307,2.366654313705277,2.211100578
95,2.311429501,2.1418881335825275,2.3614857171869152,2.4600449548267243,2.292125703
96,2.315840244,2.1125247173275192,2.293692641152139,2.3462841226236892,2.285425185
97,2.310915947,2.210692586190727,2.0740456778592007,2.3481940332462665,2.2843875899999997
98,2.312812805,2.1676965829002697,2.2806767777974097,2.2952765275215055,2.2761821760000003
99,2.309972763,2.1762744583074713,2.1855798702555482,2.2251852077807035,2.281001805
100,2.314670801,2.4044924109300463,2.0833506935246664,2.354865767690348,2.264440059
101,2.324670801,2.3136555301589543,2.6560671550309483,2.4131553014272944,2.264440059
102,2.309046268,2.506487604530434,2.4530627149920465,2.3551931419677574,2.257699965
103,2.302440405,2.260717674203135,2.0533626182209153,2.303807545010111,2.297366859
104,2.300238609,2.322724202594984,2.196929157717032,2.263253192687278,2.2131867420000004
105,2.3102386089999998,2.56755801703045,2.2332994155183767,2.3286005951884285,2.2131867420000004
106,2.303203821,1.93662708065668,2.4024063412533843,2.2738566125300865,2.2783639439999996
107,2.30647254,2.4118940315063746,2.1883560393110923,2.3167127490774324,2.2404634949999997
108,2.31647254,2.0425908063626466,2.452633753761951,2.269150819278143,2.2404634949999997
109,2.304183483,2.0839479823199234,2.1763259967814994,2.263839758582444,2.2015490520000003
110,2.3033874030000003,2.365434313482513,2.3525333622098685,2.3518419036725144,2.200620174
111,2.297906876,2.4061567830138157,2.2150966185802177,2.2650116210770608,2.2778337000000004
112,2.3079068759999997,2.094752916458788,2.5029660416646147,2.2909335236068356,2.2778337000000004
113,2.293266773,2.228358669427727,2.459205320200498,2.3002648198958955,2.281839849
114,2.298103094,2.3222012189870322,2.2417468769686404,2.3563243730550467,2.283730269
