Cycle,Discharge_Capacity(Ah),knn,particle_filter
70,2.2917521099999996,2.5024980322036994,2.404520589331882
71,2.2772130969999997,2.235716346830492,2.123509470195143
72,2.277302742,2.6802265191797776,2.4631817247677787
73,2.2873027419999996,2.1568782878991377,2.359776927873459
74,2.281272888,2.575199252840363,2.3342644651468394
75,2.271165609,2.4543158808942462,2.178238470061272
76,2.27850771,1.9245473044850725,2.0008671323222567
77,2.273855925,2.3994770477256107,2.027657196686606
78,2.2838559249999997,2.33117514366434,2.566715164859893
79,2.2793250080000003,2.596864026328937,2.2390831891964016
80,2.2775287630000003,2.241890557967733,2.0831910152853057
81,2.277444601,2.081304470132749,1.9589187033813182
82,2.287444601,2.0500168384471618,2.2845787577029353
83,2.2742993830000002,2.520399645775425,2.3255267612268216
84,2.270879745,2.183771275075917,2.5814223682156907
85,2.271537781,2.207865686743563,2.1826247665713137
86,2.265888453,2.275038036976038,2.386187119616594
87,2.275888453,2.3235735348553055,2.1070462242752783
88,2.26294136,1.9266288498883093,2.5407607174919304
89,2.253746271,2.2167337655753423,2.507815411421548
90,2.2637462709999996,2.1786111152155896,1.9455619321114865
91,2.255735159,2.190938468574085,2.1592489767721843
92,2.263768673,2.3373038478509605,2.016480323014929
93,2.256299734,2.2164785588974274,2.174714295921389
94,2.254527092,2.1437840009631715,2.3708486747910307
95,2.2568690780000003,2.6053669207430543,2.3722532376934664
96,2.247709513,2.359224240326288,2.2864012904151862
97,2.252438784,2.1512454893967083,2.450841023524168
98,2.243397951,2.570165048620426,2.200801204045224
99,2.247792482,2.225872697154359,2.2401838381362906
100,2.246077538,2.1966554493942705,2.4306961057912972
101,2.256077538,1.8429567597802143,2.351598929085094
102,2.244421959,1.983582503016311,2.1798501383162057
103,2.240085125,2.3573670486612923,2.168795235860138
104,2.239709854,2.3788990368729395,2.1067458242446335
105,2.23197484,2.127559978958638,1.9066463666903977
106,2.236642599,2.060152732892255,2.3772626912851718
107,2.246642599,2.136560522487273,2.0663245521248887
108,2.23666954,1.872524261998941,2.2161281905578805
109,2.2466695399999996,2.53235238889466,2.328760809195371
110,2.235293865,1.569414599223831,2.1315952286896596
111,2.2345991130000002,2.426212257737255,2.1998475454741127
112,2.228745461,2.4122401290221873,2.071870294594995
113,2.229367971,2.2925100545190746,2.2193233029984287
114,2.225630045,2.327475020170235,2.218758035850678
115,2.224897623,1.6714250517036138,2.277427853002562
116,2.2208437919999997,2.171260636603786,2.092332130122972
117,2.217794657,1.9783980324614685,2.4133427206916798
118,2.216031551,2.6472582126733344,2.0541890814449326
119,2.211256266,2.1313650814995997,2.1478724567040746
120,2.2212562659999997,1.8940300633581844,2.201960228011733
121,2.2093827719999997,1.9492413323522264,2.2496772103937865
